OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
9529;8,20032E+18;8;2;36;62;2020;3;17;3;3;9;1;0;0;0;0;1;0;0;485691,922;5406105,687;8,805129616;48,80777481;0
9530;8,20033E+18;8;2;26;29;2020;3;21;1;1;8;1;2;0;1;0;0;0;0;484448,1096;5483307,373;8,785207675;49,50219815;1
9531;8,20033E+18;8;4;25;72;2020;3;14;3;3;3;6;0;0;1;0;0;0;0;582369,9872;5370190,302;10,11459671;48,47944162;0
9532;8,20032E+18;8;2;35;32;2020;3;21;5;2;8;1;2;0;1;0;0;0;0;474951,4358;5375093,481;8,660728552;48,52844957;0
9533;8,20032E+18;8;1;16;58;2020;3;16;2;3;4;7;0;0;1;0;0;0;0;535399,157;5395222,8;9,481179145;48,70903239;0
9534;8,20032E+18;8;4;37;78;2020;3;7;4;3;5;3;0;0;1;0;0;0;0;508228,8901;5315914,691;9,110305987;47,99647832;0
9535;8,20032E+18;8;4;26;118;2020;3;6;6;3;4;6;0;0;1;0;0;0;1;548937,1288;5326308,566;9,657155251;48,08816717;0
9536;8,20032E+18;8;1;27;25;2020;3;15;4;2;8;1;0;0;0;0;1;0;0;555262,0433;5429614,555;9,755798632;49,01694426;0
9537;8,20032E+18;8;1;17;7;2020;3;20;5;2;4;2;2;0;1;0;1;0;0;556059,6881;5386079,656;9,760756654;48,62527165;0
9538;8,20032E+18;8;1;15;45;2020;3;15;7;3;2;2;0;0;1;0;0;0;0;500578,663;5394551,748;9,007864944;48,70400003;1
9539;8,20032E+18;8;1;28;131;2020;3;14;4;3;4;6;0;0;1;0;1;0;0;532511,2589;5513108,445;9,451489367;49,76956728;0
9540;8,20033E+18;8;4;36;64;2020;3;14;5;3;2;6;0;0;1;0;0;0;0;546581,6613;5293855,833;9,622014107;47,79637476;0
9541;8,20033E+18;8;1;15;15;2020;3;0;1;2;9;1;2;0;1;0;0;0;0;491312,963;5387692,74;8,882073668;48,64223541;0
9542;8,2004E+18;8;4;35;16;2020;4;1;4;2;8;1;2;0;1;0;0;0;0;533179,7098;5281760,688;9,442139398;47,68838105;0
9543;8,20032E+18;8;1;19;75;2020;3;14;6;3;9;1;0;0;0;0;1;0;0;537147,277;5430192,858;9,508115282;49,02350296;0
9544;8,20032E+18;8;4;16;15;2020;3;18;3;3;6;4;1;0;1;1;0;0;0;506290,1052;5366551,664;9,085068718;48,4520723;0
9545;8,20032E+18;8;2;26;98;2020;3;10;3;2;9;6;0;0;1;0;0;1;0;475118,0631;5457746,769;8,657949143;49,27197336;0
9546;8,20033E+18;8;1;11;0;2020;3;19;1;3;8;7;0;0;1;0;0;0;0;507251,9243;5405341,845;9,098755081;48,80102576;1
9547;8,20033E+18;8;3;15;48;2020;3;17;3;3;5;3;0;0;1;0;0;0;0;397824,995;5310197,778;7,631932371;47,9369461;0
9548;8,20032E+18;8;2;26;85;2020;3;18;5;3;4;6;0;1;1;0;0;0;0;490149,1303;5449193,74;8,864789624;49,19546387;0
